
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
12:34:E8:1E:12:E0, 2025-05-19 10:32:13, 2025-05-19 10:32:19,  6, 130, WPA2, CCMP, PSK,  -7,       22,        0,   0.  0.  0.  0,  21, PadmaSagar’s iPhone, 
38:FF:36:62:53:88, 2025-05-19 10:32:13, 2025-05-19 10:32:19,  1, 130, WPA2, CCMP, MGT, -54,        2,      124,   0.  0.  0.  0,  18, AMRITA-BLR-Connect, 
38:FF:36:61:72:88, 2025-05-19 10:32:13, 2025-05-19 10:32:19,  1, 130, WPA2, CCMP, MGT, -81,        1,       37,   0.  0.  0.  0,  18, AMRITA-BLR-Connect, 
02:8B:F4:D4:CC:AF, 2025-05-19 10:32:13, 2025-05-19 10:32:19,  1, 360, WPA3 WPA2, CCMP, SAE PSK, -59,        1,        0,   0.  0.  0.  0,  10, Lacrimosa , 
BE:3A:CE:11:31:95, 2025-05-19 10:32:13, 2025-05-19 10:32:19,  6, 180, WPA2, CCMP, PSK, -64,        1,        0,   0.  0.  0.  0,   5, CO5MO, 
38:FF:36:62:E4:C8, 2025-05-19 10:32:13, 2025-05-19 10:32:17, 13,  -1, WPA, ,   , -66,        0,       11,   0.  0.  0.  0,   0, , 
62:95:3E:2A:17:70, 2025-05-19 10:32:13, 2025-05-19 10:32:19, 13, 180, WPA2, CCMP, PSK, -55,        5,        0,   0.  0.  0.  0,  20, moto e(7) power 5500, 
E0:10:7F:07:D4:E8, 2025-05-19 10:32:14, 2025-05-19 10:32:19, 11, 130, OPN, ,   , -52,        7,        0,   0.  0.  0.  0,  10, Wifi-Guest, 
E0:10:7F:47:D4:E8, 2025-05-19 10:32:14, 2025-05-19 10:32:18, 11, 130, WPA2, CCMP, MGT, -51,        5,       12,   0.  0.  0.  0,  18, AMRITA-BLR-Connect, 
EC:8C:A2:04:C8:C8, 2025-05-19 10:32:14, 2025-05-19 10:32:18,  6, 130, OPN, ,   , -54,        3,        0,   0.  0.  0.  0,  10, Wifi-Guest, 
